	sample1	sample2	sample3	sample4	sample5	sample6	sample7
K00001	0.000635545	0.000468325	0.000821721	0.000369679	0.000465103	0.000474156	0.0006812
K00002	0.000266138	0.000380637	2.44572E-05	0.000100646	6.394E-05	5.16213E-05	6.29699E-05
K00003	0.000742627	0.000721673	0.000585338	0.000553319	0.000591824	0.000254529	0.000466402
K00004	6.65013E-05	2.39636E-05	7.06434E-05	0.000170248	0.000134	8.60756E-06	8.48131E-07
K00005	0.000116769	7.49278E-05	0.000143478	0.000119546	0.000307857	7.89349E-05	4.49677E-06
K00006	2.75941E-05	3.40118E-05	1.46271E-06	5.07413E-06	5.21807E-06	1.26415E-06	1.83778E-06
K00007	3.26524E-06	5.77206E-08	2.30499E-06	1.74434E-05	2.24577E-07	3.58551E-07	4.92036E-07
K00008	0.000272395	0.000504212	2.55285E-05	4.5785E-05	3.47824E-05	0.000118293	8.13813E-06
K00009	8.26014E-05	7.89321E-06	2.69586E-05	4.46663E-05	3.34359E-05	2.41126E-05	0.00044909
K00010	0.000252833	0.000561682	3.98382E-05	0.000169793	9.37827E-05	8.35984E-05	1.95027E-05
K00011	3.02035E-05	3.17457E-05	5.79917E-06	1.5072E-05	1.21939E-05	2.53768E-05	9.30516E-05
K00012	0.000662585	0.000738298	0.00015224	0.000533143	0.000334489	0.001360157	4.0993E-05
K00013	0.000625756	0.000671723	0.000111025	0.000378829	0.000205621	0.000609782	1.91001E-05
K00014	0.000609799	0.000659445	0.000987687	0.000949033	0.000972277	0.000753468	0.000349418
K00015	0.000108219	0.000153046	1.03954E-05	2.28465E-05	2.55969E-05	3.37564E-05	7.03992E-05
K00016	0.000998564	0.001662052	0.000559533	0.000550779	0.000547996	0.000198071	0.002215643
K00018	4.95664E-05	3.13734E-05	0.0001748	0.00024207	0.000265973	0.000383654	2.2858E-05
K00019	3.61318E-05	3.86413E-05	8.36423E-06	2.71634E-05	1.18456E-05	4.10613E-05	8.3712E-06
K00020	4.40795E-05	1.08895E-05	8.25288E-05	0.000105547	5.10824E-05	2.90942E-05	7.41474E-05
K00021	2.50746E-05	6.42892E-05	5.43834E-07	9.09463E-06	2.53805E-07	8.96218E-07	1.05202E-06
K00022	2.59935E-05	3.10006E-05	9.7695E-07	4.36169E-06	1.73303E-06	2.78132E-06	7.92131E-07
K00023	5.48584E-05	9.33523E-05	1.25254E-05	4.67699E-05	1.9642E-05	5.42359E-05	5.59883E-06
K00024	0.000707729	0.000808617	0.000277863	0.000644215	0.000415989	0.001088099	7.26736E-05
K00025	2.88844E-05	2.55061E-05	3.38185E-06	1.94191E-05	9.51093E-06	1.79997E-06	2.68883E-07
K00026	4.91588E-05	5.28808E-05	3.03271E-06	2.41826E-06	2.60686E-06	4.35257E-06	2.57927E-06
K00027	0.000714366	0.001194756	0.000316202	0.000459756	0.000760073	0.000248584	0.000279947
K00028	9.24283E-06	2.08332E-06	2.81556E-06	7.70113E-06	8.66559E-06	4.97238E-06	5.28159E-07
K00029	0.000188043	0.000165001	0.000168092	0.000322767	0.000253389	0.000546118	3.2156E-05
K00030	9.21634E-05	8.88237E-05	8.58647E-06	3.02241E-05	3.54135E-05	5.58501E-05	4.46393E-06
K00031	0.000815243	0.000750337	8.23416E-05	0.000436815	0.00015904	0.000594642	2.19487E-05
K00032	5.9019E-06	8.40901E-06	9.57013E-08	4.74402E-07	1.07707E-07	1.64937E-06	7.13055E-07
K00033	0.000597419	0.000670882	0.000872387	0.00065743	0.000544571	0.000380653	0.001415954
K00034	9.1641E-05	8.75856E-05	6.11167E-06	1.75966E-05	1.06732E-05	2.37979E-05	5.12795E-06
K00035	5.77913E-07	2.07271E-07	2.33475E-06	9.95249E-07	4.9222E-07	3.97782E-07	5.84605E-07
K00036	0.000627023	0.000681847	0.00069936	0.000618197	0.000495331	0.00036703	0.001063676
K00037	7.28708E-07	4.21361E-07	1.43223E-07	2.34364E-07	4.53763E-08	1.16399E-06	1.99721E-07
K00038	6.83491E-06	4.27094E-06	9.02403E-07	3.04837E-06	1.97351E-06	4.56703E-06	2.4859E-06
K00039	6.30171E-06	6.03979E-06	8.02659E-07	3.68554E-06	1.30654E-06	3.14221E-06	9.14413E-07
K00040	9.99829E-05	0.000211755	7.67408E-06	4.79819E-05	1.23764E-05	0.0001133	3.04495E-06
K00041	9.08566E-06	1.11131E-06	4.18938E-06	5.41534E-06	8.48896E-06	0.000442319	2.51887E-06
